IDnumb,Title,Author,Publisher,Year,Edition,Volume,subjects,Donor,Comment,Relevance 
539,Introduction To Atomic Spectra,Harvey Elliott White,Mcgraw-Hill Publishing Co.,1934,,,Progress Reports In Atomic Physics; Quantum Mechanics; Atomic Physics; Spectroscopy; Particle Physics; Schrodingers Equation; Material Physics; Zeeman Effect; Electromagnetic Radiation,,,Y
539.4,Physics Of Non-Destructive Testing,Multiple Authors,British Journal Of Applied Physics,1957,,,Unknown; Research Papers; Nuclear Physics; Electromagnetic Radiation; Optics; Atomic Physics,Ex-Libris,,Y
539.8,The Old Quantum Theory,D. Ter Haar,Pergamon Press,1967,,,Quantum Mechanics; Quantum Mechanics; Atomic Physics; Radiation; Electromagnetic Radiation,Ex-Libris,,Y
,Wave Mechanics,H. T. Flint; O. W. Richardson,Meuthuen And Co.,1946,5,,Wave Mechanics; Classical Mechanics; Optics; Quantum Mechanics,L. Jacob,,Y
539.8,Lectures on Physics: Wave Mechanics v. 5 (Pauli lectures on physics), Wolfgang Pauli, MIT Press,1973,,,Quantum Mechanics; Wave Mechanics; Particle Physics; Classical Mechanics; Scattering Theory; Matrix Mechanics; Perturbation Theory,,,Y
539.95,Nuclear Physics,Alex E. S. Green,Mcgraw-Hill Publishing Co.,1955,,,Monographs In Nuclear Physics; Relatavistic Dynamics; Atomic Physics; Nuclear Physics; Radiation; Radiation Detectors; Nuclear Models; Quantum Mechanics,,,Y
539.95,Proceedings Of The Winter College On Fundamental Nuclear Physics,K. Dieterich; M. Di Toro; H. J. Mang; Et Al.,World Scientific Publishing Co.,1984,,1,Monographs In Nuclear Physics; Nuclear Physics; Particle Physics; Particle Physics; Statistical Mechanics; Chromodynamics,Nuclear Energy Board Ireland,,Y
539.95,Proceedings Of The Winter College On Fundamental Nuclear Physics,K. Dieterich; M. Di Toro; H. J. Mang; Et Al.,World Scientific Publishing Co.,1984,,2,Monographs In Nuclear Physics; Nuclear Physics; Particle Physics; Fluid Mechanics; Nuclear Models; Matrix Mechanics,,,Y
539.9,An Introduction To Tensor Calculus And Relativity,Derek F. Lawden,Meuthuen And Co.,1962,,,Theory Of Relativity; Lorentz Trnasformations; Special Relativity; Tensors; Quantum Electrodynamics,Ex-Libris,,Y
539.9,Classical Electromagnetisim Via Relativity,W. G. V. Rosser,Butterworths Scientific Publications,1968,,,Theory Of Relativity; Special Relativity; Electromagnetis; Maxwells Equations,Ex-Libris,,Y
,An Introduction To The Theory Of Relativity,W. G. V. Rosser,Butterworths Scientific Publications,1964,,,Relativity; Special Relativity; Lorentz Trnasformations; Relatavistic Mechanics; Electromagnetism; Maxwells Equations,Ex-Libris,,Y
539.9,Vector Analysis And The Theory Of Relativity,Francis D. Murnaghan,The John Hopkins Press,1922,,,Theory Of Relativity; Tensors; Tensor Algebra; Matrix Mechanics; Mathematics,Ex-Libris,,Y
539.55,Mesons And Fields,Hans A. Bethe; Frederick De Hoffmann,"Row, Peterson And Company",1955,,,High Energy Physics; Particle Physics; Scattering Theory; Quantum Mechanics; High Energy Physics; Relativity,Ex-Libris,,Y
539.8,Many Electron Theory, Stanley Raimes, North-Holland,1972,,,Quantum Mechanics; Plasma Physics; Feynman Diagrams; Schrodingers Equation; Greens Function,Ex-Libris,,Y
539.95,"Superstrings, Unified Theories And Cosmology 1987",G. Furlan; J. C. Pati; D. W. Sciama; E. Sezgin; Q. Shafi; Et Al.,World Scientific Publishing Co.,1987,,,Monographs In Nuclear Physics; Quantum Mechanics; String Theory; Cosmology; Mathematics; Particle ; Particle Physics,Nuclear Energy Board Ireland,,Y
539.8,Quantum Mechanics Of One And Two Electron Atoms,Hans A. Bethe; Edwin E. Salpeter,Springer-Verlag Co.,1957,,,Quantum Mechanics; Relativity; Non-Relatavistic Quantum Mechanics; Radiation; Atomic Physics; Quantum Field Theory,Ex-Libris,,Y
539.9,Theory Of Relativity,W. Pauli,Pergamon Press,1958,,,Theory Of Relativity; Mathematics; Special Relativity; Thermodynamics; Particle Physics,Ex-Libris,,Y
539.9,An Introduction To Relativity,L. Marder,Longmans Green And Co.,1968,,,Theory Of Relativity; Lorentz Trnasformations; Relatavistic Mechanics; Relatavistic Dynamics; Relatavistic Optics,Ex-Libris,,Y
539.9,Relatavistic Point Dynamics,Henri Arzerlies,Pergamon Press,1971,,,Theory Of Relativity; Lorentz Trnasformations; Relatavistic Electromagnetism,Ex-Libris,,Y
539.9,The Theory Of Relativity,C. Moller,Oxford University Press,1960,1,,Theory Of Relativity; Relatavistic Mechanics; Tensor Calculus; Electrodynamics; Field Theory; General Relativity,Paul Allen,,Y
539.9,Relativity And The Electron Theory,E. Cunningham,Longmans Green And Co.,1915,,,Theory Of Relativity; Relatavistic Mechanics; Early Theory Of Relativity,Ex-Libris,,Y
539.9,Relatavistic Kinematics,R. Hagedorn,W. A. Benjamin Inc.,1963,,,Theory Of Relativity; Lorentz Trnasformations; High Energy Physics; Particle Physics; Quantum Mechanics,Ex-Libris,,Y
539.55,Elementary Particles And The Laws Of Physics,Richard P. Feynman; Steven Weinberg,Cambridge University Press,1987,1,,High Energy Physics; Particle Physics; Quantum Mechanics; Feynman Diagrams,Ex-Libris,,Y
539.9,An Introduction To Tensor Calculus And Relativity,Derek F. Lawden,Meuthuen And Co.,1962,,,Theory Of Relativity; Lorentz Trnasformations; Tensor Calculus; Special Relativity Calculus; Special Relativity Electrodynamics,Peter Mitchell,,Y
539.9,An Introduction To The Special Theory Of Relativity,Robert Katz,D. Van Nostrand Co.,1965,,,Theory Of Relativity; Lorentz Trnasformations; Galilean Transformations; Relatavistic Mechanics; Relatavistic Electromagnetism,,,Y
539.9,Proceedings of the Second Marcel Grossman Meeting on General Relativity, R. Ruffini, Elsevier Science Ltd,1982,,,Theory Of Relativity; Quantum Mechanics; Supergravity; Topology; Research Papers,Nuclear Energy Board Ireland,,Y
539.9,"The Fifth Marcel Grossmann Meeting on Recent Developments in Theoretical and Experimental General Relativity, Gravitation and Relativistic Field Theo: ... of Western Australia, 8-13 August, 1988", Marcel Grossmann Meeting on General Relativity 1988 University of wes; David G. Blair, World Scientific Pub Co Inc,1989,,1,Theory Of Relativity; Quantum Mechanics; Cosmology; Research Papers; Astronomy; Astrophysics; Wave ; Wave Mechanics; Particle Physics; Black-Hole Physics; Quantum Gravity; String Theory; Dark Matter,,,Y
539.9,"The Fifth Marcel Grossmann Meeting on Recent Developments in Theoretical and Experimental General Relativity, Gravitation and Relativistic Field Theo: ... of Western Australia, 8-13 August, 1988", Marcel Grossmann Meeting on General Relativity 1988 University of wes; David G. Blair, World Scientific Pub Co Inc,1989,,2,Theory Of Relativity; Mathematics; Astrophysics; Relativity; Cosmology; Supernovae,,,Y
539.9,Special Relativity,W. Rindler,Oliver And Boyd,1960,1,,Theory Of Relativity; Relatavistic Mechanics; Relatavistic Optics; Wave Mechanics; Relatavistic Electromagnetism; Tensor,Ex-Libris,,Y
539.9,Proceedings of the Second Marcel Grossman Meeting on General Relativity, R. Ruffini, Elsevier Science Ltd,1982,,2,Theory Of Relativity; Cosmology; Gravitational Waves; Quantum Mechanics,Nuclear Energy Board Ireland,,Y
539.2,Giant Brains Or Machines That Think,Edmund Callis Berkeley,Science Editions ,1961,,,Unknown; Computer Science; Electronics; Computational Consciousness,L. Jacob,,Y
539.9,Special Relativity: The M. I. T. Introductory Physics Series, A. P. French, W. W. Norton Co.,1968, First Printing,,Theory Of Relativity; Newtonian Dynamics; Quantum Mechanics; Relatavistic Kinematics; Relatavistic Dynamics; Electricity,,,Y
,Advances In Molecular Spectroscopy: Proceedings Of The 4Th International Metting On Molecular Spectroscopy,A. Mangini; Et Al.,Pergamon Press,1962,,2,Spectroscopy; Molecular Spectroscopy; Research Papers; Nuclear Physics; Atomic Physics; Chemistry; Solid State Physics,,German/English Conference Proceedings,M
537.1,Principles and Applications of Magnetic Cooling (Low Temperature Physics S), Ralph P Hudson, North-Holland Pub. Co.,1972,,,Low Temperatures; Nuclear Physics; Atomic Physics; Paramagetisim,Ex-Libris,,Y
537.1,Liquid Helium,K. R. Atkins,Cambridge University Press,1959,,,Low Temperatures; Liquified Gases; Liquid Helium; Thermohydrodynamics; Theoretical Physics,Ex-Libris,,Y
537.1,Experimental Techniques In Low-Temperature Physics,Guy Kendall White,Oxford University Press,1968,2,,Low Temperatures; Liquified Gases; Thermometers; Cryostat; Vacuum Techniques,Ex-Libris,,Y
537.1,Refrigeration And Thermometry Below One Kelvin,D. S. Betts,Sussex University Press,1976,,,Low Temperatures; Liquified Gases; Liquid Helium; Thermometers; Nuclear Physics; Thermometry; Mossbauer Effect,,,Y
537.1,Semi-Conducting Materials,R. W. Ditchburn; N. F. Mott,Butterworths Scientific Publications,1951,,,Low Temperatures; Research Papers; Semiconductor Theory; Nuclear Physics; Atomic Physics; Chemistry,L. Jacob,,Y
537.1,Progress In Low Temperature Physics,C. J. Gorter,North-Holland Publishing Co.,1970,,6,Low Temperatures; Research Papers; Liquified Gases; Liquid Helium; Superconductivity; Crystalography,Ex-Libris,,Y
,Electricity And Magnetisim,Max Abraham,Blackie And Sons Ltd.,1948,,,Electromagnetism; Vectors; Tensors; Electromagnetic Radiation; Maxwells Equations,N. A. Porter,,Y
537.1,The Properties Of Liquid And Solid Helium,J. Wilks,Clarendon Press,1967,,,Low Temperatures; Liquid Helium; Liquified Gases; Crystalography; Wave Mechanics; Solid Helium,Ex-Libris,,Y
537.4,Modern Thermodynamics By The Methods Of Willard Gibbs,E. A. Guggenheim,Meuthuen And Co.,1933,,,Thermodynamics; Gas Laws; Radiation,Ex-Libris,,Y
537.4,Thermodynamics,Y. Rocard,Sir Isaac Pitman And Sons Ltd.,1952,,,Thermodynamics; Equations Of State; Material Physics; Radiation; Statistical Mechanics,Ex-Libris,,Y
537.1,Phenomena At The Temperature Of Liquid Helium,E. F. Burton; H. Grayson Smith; J. O. Wilhelm,Reinhold Publishing Corporation,1940,,,Low Temperatures; Liquified Gases; Liquid Helium; Thermometers; Material Physics; Superconductivity; Specific Heats; Conductivity,Ex-Libris,,Y
537.4,"Thermodynamics, Kinetic Theory And Statistical Thermodynamics",Francis W. Sears; Gerhard L. Salinger,Addison-Weslley Publishing Co.,1975,3,,Thermodynamics; Equations Of State; Laws Of Thermodynamics; Entropy; Molecular Physics; Stastical Thermodynamics,S. O'Connor,,Y
537.1,Low Temperature Solid State Physics,H. M. Rosenberg,Oxford University Press,1963,,,Low Temperatures; Crystalography; Specific Heats; Semiconductor Theory; Thermal Expansion; Material Physics; Superconductivity,Ex-Libris,,Y
537.1,Progress In Low Temperature Physics,C. J. Gorter,North-Holland Publishing Co.,1957,,1,Low Temperatures; Research Papers; Quantum Mechanics; Superconductivity; Superfluids; Liquified Gases; Optics; Transistor Theory; Crystalography,Ex-Libris,,Y
537.1,Progress In Low Temperature Physics,C. J. Gorter,North-Holland Publishing Co.,1957,,2,Low Temperatures; Research Papers; Quantum Mechanics; Superconductivity; Superfluids; Liquified Gases; Optics; Transistor Theory; Crystalography,Ex-Libris,,Y
537.1,Progress In Low Temperature Physics,C. J. Gorter,North-Holland Publishing Co.,1957,,3,Low Temperatures; Research Papers; Quantum Mechanics; Superconductivity; Superfluids; Liquified Gases; Optics; Transistor Theory; Crystalography,Ex-Libris,,Y
537.1,Progress In Low Temperature Physics,C. J. Gorter,North-Holland Publishing Co.,1957,,4,Low Temperatures; Research Papers; Quantum Mechanics; Superconductivity; Superfluids; Liquified Gases; Optics; Transistor Theory; Crystalography,Ex-Libris,,Y
537.1,Progress In Low Temperature Physics,C. J. Gorter,North-Holland Publishing Co.,1957,,5,Low Temperatures; Research Papers; Quantum Mechanics; Superconductivity; Superfluids; Liquified Gases; Optics; Transistor Theory; Crystalography,Ex-Libris,,Y
537.1,Theory Of Superconductivity,J. R. Schrieffer,W. A. Benjamin Inc.,1963,,,Low Temperatures; Superconductivity; Liquified Gases; Chemistry; Electromagnetism,Ex-Libris,,Y
537.4,Thermodynamics: An Advanced Treatment For Chemists And Physicists,E. A. Guggenheim,North-Holland Publishing Co.,1957,,,Thermodynamics; Laws Of Thermodynamics; Thermometers; Entropy; Equations Of State; Material Physics,Ex-Libris,,Y
537.4,Thermodynamics: An Introduction,Rubin Battino; Scott E. Wood,Academic Press,1968,,,Thermodynamics; Classical Thermodynamics; Mathematics; Equations Of State; Classical Mechanics; Laws Of Thermodynamics; Entropy; Enthalpy; Helmholtz Free Energy; Gibbs Free Energy,Ex-Libris,,Y
537.4,"An Introduction To Thermodynamics, The Kinetic Theory Of Gases And Stastical Mechanics",Francis Weston Sears,Addison-Weslley Publishing Co.,1953,2,,Thermodynamics; Classical Mechanics; Laws Of Thermodynamics; Equations Of State; Entropy; Kinetic Theory; Maxwell-Boltzmann Statistics,Ex-Libris,,Y
537.4,Statistical Thermodynamics,Erwin Schrodinger,Cambridge University Press,1946,,,Thermodynamics; Statistics; Nernst Theorem; Entropy; Radiation,L. Jacob,,Y
537.4,The Elements Of Thermodynamics,Charles Fabry,Frederick Muller Ltd. ,1951,,,Thermodynamics; Laws Of Thermodynamics; Fluid Mechanics,Ex-Libris,,Y
537.4,The Nature Of Thermodynamics,P. W. Bridgman,Harvard University Press,1943,,,Thermodynamics; Laws Of Thermodynamics; Entropy,Ex-Libris,,Y
537.4,Textbook Of Thermodynamics,Paul S. Epstein,John Wiley & Sons,1937,,,Thermodynamics; Material Physics; Laws Of Thermodynamics; Entropy; Equations Of State; Capillary Layer; Nernst Theorem; Specific Heats,Ex-Libris,,Y
537.4,Thermodyanmics And Stastical Mechanics,A. H. Wilson,Cambridge University Press,1957,,,Thermodynamics; Laws Of Thermodynamics; Statistical Mechanics; Chemistry; Gas Laws,Ex-Libris,,Y
537.4,Introduction To Phase Transitions And Critical Phenomena,H. Eugene Stanley,Clarendon Press,1971,,,Thermodynamics; Fluid Mechanics; Critical-Point Exponents; Equations Of State; Field Theory; Phase Transitions,Ex-Libris,,Y
537.4,Thermodynamics: An Introductory Treatise Dealing Mainly With First Principles And Their Direct Applications,G. H. Bryan,Leipzig: B. G. Teubner,1907,,,Thermodynamics; Laws Of Thermodynamics; Classical Mechanics; Entropy,Ex-Libris,,Y
537.4,The Third Law Of Thermodynamics,J. Wilks,Oxford University Press,1961,,,Thermodynamics; Entropy; Laws Of Thermodynamics; Statistical Mechanics; Nuclear Physics,Ex-Libris,,Y
537.4,Introduction To Stastical Thermodynamics,Eldon L. Knuth,Mcgraw-Hill Publishing Co.,1966,,,Thermodynamics; Classical Thermodynamics; Statistical Thermodynamics; Quantum Mechanics; Crystalography; Radiation,Ex-Libris,,Y
537.4,The Physical Principles Of Thermodynamics,R. A. Smith,Chapman And Hall Ltd.,1952,,,Thermodynamics; Thermometers; Laws Of Thermodynamics; Specific Heats; Entropy; Mathematics; Radiation; Gas Laws; Phase Transitions; Nernst Theorem; Low Temperatures,Ex-Libris,,Y
537.4,"Engines, Energy and Entropy: A Thermodynamics Primer", John B. Fenn, W H Freeman & Co (Sd),1982,,,Thermodynamics; Laws Of Thermodynamics; Thermometers; Entropy; Classical Thermodynamics,,,Y
537.4,Introduction to Applied Thermodynamics and Energy Conversion, John R. Tyldesley, Longman,1978,,,Thermodynamics; Laws Of Thermodynamics; Material Properties; Material Physics; Economics; Nuclear Physics; Electricity,Ex-Libris,,Y
537.4,Thermal Physics,Philip M. Morse,W. A. Benjamin Inc.,1969,2,,Thermodynamics; Laws Of Thermodynamics; Entropy; Classical Thermodynamics; Equations Of State; Phase Transitions; Kinetic Theory; Statistical Mechanics; Crystalography; Quantum Statistics; Bose-Einstein Statistics; Fermi Dirac Statistics,Ex-Libris,,Y
537.4,Thermal Physics,Philip M. Morse,W. A. Benjamin Inc.,1962,1,,Thermodynamics; Laws Of Thermodynamics; Entropy; Classical Thermodynamics; Equations Of State; Phase Transitions; Kinetic Theory; Statistical Mechanics; Crystalography; Quantum Statistics; Bose-Einstein Statistics; Fermi Dirac Statistics,Ex-Libris,,Y
537.4,Statistical Mechanics,Joseph Edward Mayer; Maria Goeppert Mayer,John Wiley & Sons,1940,,,Thermodynamics; Gas Theory; Laws Of Thermodynamics; Gas Laws; Crystalography; Van Der Waals Equation,Ex-Libris,,Y
536.1,Lecture Notes On The Use Of The Microscope,R. Barer,Blackwell Scientific Publications,1956,2,,Optics; Biology; Laboratory Equiptment,Ex-Libris,,Y
530.85,Christian Huygens And The Development Of Science In The Seventeenth Century,A. E. Bell,Edward Arnold Publishers Ltd.,1947,,,Biography; People Of Physics,Ex-Libris,,Y
538.1,Quantum Theory Of Magnetisim,Robert M. White,Mcgraw-Hill Publishing Co.,1970,,,Magnetisim; Hamiltonian; Scattering Theory,Ex-Libris,,Y
538.1,Ferromagnetic Domains,K. H. Stewart,Cambridge University Press,1954,,,Magnetisim; Magnetocrystalline Anisotropy; Magnetostriction; Domain Arrangement; Domain Walls,Ex-Libris,,Y
538.1,Magnetostatic Principles In Ferromagnetism,William Fuller Brown Jr.,North-Holland Publishing Co.,1962,,,Magnetisim; Magnetostatics; Ferromagnetisim; Magnetization; Domain Theory,Ex-Libris,,Y
538.1,The Magnetic Properties Of Matter,D. E. G. Williams,Longmans Green And Co.,1966,,,Magnetisim; Paramagnetism; Diamagnetism; Gyromagnetism; Ferromagnetisim,Ex-Libris,,Y
538.1,Magnetism And Matter,Edmund C. Stoner,Meuthuen And Co.,1934,,,Magnetisim; Quantum Mechanics; Zeeman Effect; Atomic Physics; Gyromagnetism; Diamagnetism; Paramagnetism; Ferromagnetisim,Ex-Libris,,Y
538.1,Magnetic Phenomena,Samuel Robinson Williams,Mcgraw-Hill Publishing Co.,1931,,,Magnetisim; Magneto-Mechanics; Magneto-Acoustics; Magneto-Electrics; Magneto-Thermics; Magneto-Optics,Ex-Libris,,Y
537.4,The Concepts Of Classical Thermodynamics,H. A. Buchdahl,Cambridge University Press,1966,,,Thermodynamics; Laws Of Thermodynamics,Ex-Libris,,Y
538.1,The Physical Principles Of Magnetism,Allan H. Morrish,John Wiley & Sons,1965,,,Magnetisim; Diamagnetism; Paramagnetism; Nuclear Physics; Ferromagnetisim,Ex-Libris,,Y
537.4,Lectures on Physics: Thermodynamics and the Kinetic Theory of Gases v. 3 (Pauli lectures on physics), Wolfgang Pauli, MIT Press,1973,,3,Thermodynamics; Laws Of Thermodynamics; Nernst Theorem; Kinetic Theory,,,Y
538.1,Effective Field Theories Of Magnetisim,J. Samuel Smart,W. B. Saunders Co.,1966,,,Magnetisim; Quantum Mechanics; Paramagnetism; Molecular Field Theory; Ferromagnetisim,Ex-Libris,,Y
538.1,Magnetisim,David Shoenberg,Sigma Books Ltd,1949,,,Magnetisim; Material Physics; Material P; Earths Magnetisim,Ex-Libris,,Y
538.2,Principles And Practice Of Electrical Engineering,Alexander Gray; G. A. Wallace,Mcgraw-Hill Publishing Co.,1962,8,,Electricity; Magnetisim; Electrical Components; Electrical ; Electrical Noise; Dc Motors; Electrical Interfacing; Ac Circuits; Dc Circuits; Transformer Circuits; Ac Motors; Valve Circuits; Semiconductor Electronics,L. Jacob,,Y
538.1,Geomagnetisim,Sydney Chapman; Julius Bartels,Clarendon Press,1940,,1,Magnetisim; Earths Magnetisim; Solar Physics; Lunar Physics; Aurora Polaris,Ex-Libris,,Y
560,Data Analysis Techniques For High-Energy Physics ,R. Fruhwirth; M. Regler; R. K. Bock; H. Grote; D. Notz,Cambridge University Press,2000,2,,Particle Physics; Computational Physics; Computer Science; High Energy Physics,,,Y
560,"Dynamics of the Standard Model (Cambridge Monographs on Particle Physics, Nuclear Physics and Cosmology)", John F. Donoghue; Eugene Golowich; Barry R. Holstein, Cambridge University Press,1994,,,Particle Physics; Standard Model; Leptons; Baryons; Hadrons,,,Y
538.22,Early Quantum Electrodynamics: A Sourcebook,Arthur I. Miller,Cambridge University Press,1994,,,Electrodynamics; Quantum Mechanics; Quantum Electrodynamics; Nuclear Physics,,,Y
560,Spaceship Neutrino, Christine Sutton, Cambridge University Press,1992,,,Particle Physics; Neutrino; Neutrino Physics; Nuclear Physics; Neutrino Detection,,,Y
539.8,Quantum Field Theory: A Modern Introduction,Michio Kaku,Oxford University Press,1993,,,Quantum Mechanics; Quantum Field Theory; Group Theory; String Theory; Feynman Diagrams; Quantum Electrodynamics; Scattering Theory; Gauge Theory; Standard Model; Quantum Gravity,,,Y
515,Digital Signal Processing Applications With The Tms320 Family,Kun-Shan Lin,Prentice-Hall,1987,,1,Computing; Electronics; Instrumentation; Signal Processing; Control Systems; Datasheets,,This Book Contains Actual 5.25 Inch Floppy Disks!,Y
531.2,Fluid Mechanics,L. D. Landau; E. M. Lifshitz,Pergamon Press,1975,1,,Unknown; Fluid Mechanics; Classical Mechanics; Wave Mechanics; Thermodynamics,Ex-Libris,,Y
531.1,Manometric Techniques: A Manual Describing Methods Applicable To The Study Of Tissue Metabolism,W. W. Umbreit; R. H. Burris; J. F. Stauffer,Burgess Publishing Company,1964,4,,General Physics; Chemistry; Biology; Laboratory Equiptment; Pressure Measurement,L. Jacob,,
536.5,Spectral Line Formation,John T. Jefferies,Blaisdell Publishing Co.,1968,,,Theory Of Spectra; Quantum Mechanics; Atomic Physics; Electromagnetic Radiation; Spectroscopy,,,Y
536,"States, Waves And Photons: A Modern Introduction To Light",Joseph W. Simmons; Mark J. Guttmann,Addison-Weslley Publishing Co.,1970,,,Light; Optics; Matrix Optics; Quantum Mechanics; Polariser; Electromagnetic Radiation,,,Y
531.2,Mechanics of Fluids, William Jolly Duncan; Alexander Thom; A Young, Hodder Arnold,1970, 2nd,,Unknown; Fluid Mechanics; Classical Mechanics; Hydrostatics; Compressible Fluids; Oscillations; Wave Mechanics,Ex-Libris,,Y
531.2,Mechanics: From Newton's Laws to Deterministic Chaos, Florian Scheck, Springer-Verlag,1994, Enlarged 2nd,,Unknown; Classical Mechanics; Rigid Bodt Mechanics; Stability And Chaos; Canonical Mechanics,,,Y
531.2,Intermediate Mechanics,D. Humphrey,Longmans Green And Co.,1958,11,,Unknown; Classical Mechanics; Pojectile Motion; Simple Harmonic Motion,Paul Allen,,Y
531.2,Mehcnaics And Hydrostatics,G. F. Peaker,University Tutorial Press,1936,1,,Unknown; Classical Mechanics; Fluid Mechanics,,,Y
